ID	DOCULECT	CONCEPT	GERMAN	CONCEPTICON	CONCEPTICON_GLOSS	IDS	VALUE	FORM	TOKENS	ORIGIN	SOURCE	SOURCE_FORM	MORPHEMES	COGIDS	NOTE	ROOTIDS
524	German	wound, sore	die Wunde	1109	WOUND	4-850	die Wunde	wunde	v ʊ n d + ə				wound _-:suffix.f.s/e	710 91		0
525	German	bruise	die Quetschung	1148	BRUISE	4-852	die Quetschung	quetschung	k v ɛ tʃ + ʊ ŋ				squeeze _-:suffix/ung	1150 58		0
526	German	swelling	die Schwllung	1903	SWELLING	4-853	die Schwellung	schwellung	ʃ v ɛ l + ʊ ŋ	S			swell _-:suffix/ung	487 58		0
527	German	itch	jucken	148	ITCH	4-854	jucken	jucken	j ʊ k + ə n	Stammwort			? _-:inf	0 2		0
528	German	blister	die Blase	1584	BLISTER	4-855	die Blase	blase	b l aː z + ə				blow _-:suffix.f.s/e	801 91		0
529	German	boil (noun)	der Furunkel	793	BOIL (OF SKIN)	4-856	der Furunkel	furunkel	f uː r ʊ ŋ k ə l	Entlehnung	l	fUrunculus	boil:N	1008		0
530	German	boil (noun)	der Furunkel	793	BOIL (OF SKIN)	4-856	das Blutgeschwür	blutgeschwür	b l uː t + g ə + ʃ v yː r				blood _-:prefix/ge boil-of-skin	803 139 1063		0
531	German	pus	der Eiter	1808	PUS	4-857	Eiter	eiter	ai t ə r	Stammwort			pus	940		0
532	German	scar	die Narbe	497	SCAR	4-858	die Narbe	narbe	n a r b + ə	Stammwort			scar _-:suffix.f.s/e	0 91		0
533	German	cure, heal	heilen	499	CURE	4-860	heilen	heilen	h ai l + ə n				complete-without-injuries _-:inf	313 2		0
534	German	physician	der Arzt	597	PHYSICIAN	4-870	Arzt	arzt	aː r ts t	Entlehnung			doctor	934		0
535	German	medicine, drug	die Arznei	1372	MEDICINE	4-880	die Arznei	arznei	a r ts Ø/t + n ai	Hybridbildung			doctor /nei	934 935		0
536	German	medicine, drug	die Arznei	1372	MEDICINE	4-880	das Heilmittel	heilmittel	h ai l + m ɪ t ə l				complete-without-injuries remedy	313 ?		0
537	German	medicine, drug	die Arznei		!MEDICINE	4-880	die Droge	droge	d r oː g + ə	Entlehnung	frz	drogue	*drug _-:suffix.f.s/e	944 91		0
538	German	poison	das Gift	655	POISON	4-890	das Gift	gift	g ɪ f t	Stammwort			poison	114		0
539	German	tired, weary	müde	1757	TIRED	4-910	müde	müde	m yː d + ə	Stammwort			tired _-:suffix/e	568 1243		0
540	German	rest	ausruhen	168	REST	4-912	ausruhen	ausruhen	au s + r uː + ə n				_-out:prefix/aus quiet _-:inf	148 315 2		0
541	German	lazy	faul	1564	LAZY	4-920	faul	faul	f au l	Stammwort			rotten	201		0
542	German	lazy	träge	1564	LAZY	4-920	träge	träge	t r ɛː g + ə	Stammwort			lazy _-:suffix.adv/e	772 1248		0
543	German	lazy	lässig	1564	LAZY	4-920	lässig	lässig	l ɛ/a s + ɪ ç/g				let _-:suffix/ig	314 156	old	0
544	German	bald	kahl	1125	BALD	4-930	kahl	kahl	k aː l	Stammwort			bald	1129		0
1906	German	bald							g l a ts + k ø/ɔ pf + ɪ ç/g				bald-head head _-:suffix/ig	532 20 885		
545	German	lame	lahm	320	LAME	4-940	lahm	lahm	l aː m	Stammwort			lame	0		0
546	German	lame	lahm	320	!LAME	4-940	hinkend	hinkend	h ɪ ŋ k + ə n + t/d				limp _-:inf _-:pt.pr/d	1069 2 157		0
547	German	deaf	taub	996	DEAF	4-950	taub	taub	t au p/b	Stammwort			deaf	753		0
548	German	mute	stumm	1666	MUTE	4-960	stumm	stumm	ʃ t ʊ m	Stammwort			mute	1057		0
549	German	blind	blind	1653	BLIND	4-970	blind	blind	b l ɪ n t/d	Stammwort			blind	863		0
550	German	intoxicated	betrunken	1463	DRUNK	4-980	betrunken	betrunken	b ə + t r ʊ/ɪ ŋ k + ə n				_-:prefix/be drink _-:inf	140 767 2		0
551	German	naked, bare	nackt	590	NAKED	4-990	nackt	nackt	n a k + t	Stammwort			naked _-:suffix/t	909 332		0
552	German	eat	essen	1336	EAT	5-110	essen	essen	ɛ s + ə n	Stammwort			eat _-:inf	154 2		0
553	German	eat	essen	1336	EAT	5-110	speisen	speisen	ʃ p ai z + ə n				eat-of-humans _-:inf	1015 2		0
554	German	food	das Essen	256	FOOD	5-120	die Speise	speise	ʃ p ai z + ə	Entlehnung	ml	spesa	eat-of-humans _-:suffix.f.s/e	1015 91	rare	0
555	German	food	das Essen	256	FOOD	5-120	das Essen	essen	ɛ s + ə n	Stammwort			eat _-:suffix.n.s/en	1076 1214		0
556	German	food	das Essen	256	FOOD	5-120	die Nahrung	nahrung	n aː r + ʊ ŋ				nourish _-:suffix/ung	0 58	abstract	0
557	German	food	das Essen	256	FOOD	5-120	die Kost	kost	k ɔ s t	Entlehnung			taste	501	rare	0
558	German	cooked	gekocht	269	COOKED	5-121	gekocht	gekocht	g ə + k ɔ x + t				_-:prefix/ge cook _-:pt.pf/t	139 1085 736		0
559	German	raw	roh	1959	RAW	5-122	roh	roh	r oː	Stammwort			raw	613		0
560	German	ripe	reif	178	RIPE	5-123	reif	reif	r ai f	Stammwort			ripe	888		0
561	German	green, unripe	unreif	1958	UNRIPE	5-124		unreif	ʊ n + r ai f				not:prefix/un ripe	609 888		0
562	German	green, unripe	unreif	1958	UNRIPE	5-124	grün	grün	g r yː n	Stammwort			green	304	not used	0
563	German	rotten	faul	1728	ROTTEN	5-125	faul	faul	f au l	Stammwort			rotten	201		0
564	German	rotten	faul	1728	ROTTEN	5-125	verfault	verfault	f ɛ r + f au l + t	S			_-:prefix/ver rotten _-:pt.pf/t	138 201 736		0
565	German	rotten	faul	1728	ROTTEN	5-125	vermodert	vermodert	f ɛ r + m ɔ d ə r + t				_-:prefix/ver rotten/moder _-:pt.pf/t	138 200 736	specific	0
566	German	drink	trinken	1401	DRINK	5-130	trinken	trinken	t r ɪ ŋ k + ə n	Stammwort			drink _-:inf	767 2		0
567	German	hunger	der Hunger	1864	HUNGER	5-140	der Hunger	hunger	h ʊ ŋ ə r	Stammwort			hunger	1072		0
568	German	famine	die Hungersnot	199	FAMINE	5-141	die Hungersnot	hungersnot	h ʊ ŋ ə r + s + n oː t				hunger _-:infix/s need:N	1072 333 13		0
569	German	thirst	der Durst	848	THIRST	5-150	der Durst	durst	d ʊ r s t	Stammwort			thirst	551		0
570	German	suck	saugen	1421	SUCK	5-160	saugen	saugen	z au g + ə n	Stammwort			suck _-:inf	242 2		0
571	German	chew	kauen	321	CHEW	5-180	kauen	kauen	k au + ə n	Stammwort			chew _-:inf	1134 2		0
572	German	swallow	schlucken	897	SWALLOW	5-181	runterschlucken	runterschlucken	r ʊ n t ə r + ʃ l ʊ k + ə n				down swallow _-:inf	363 479 2		0
573	German	swallow	schlucken	897	SWALLOW	5-181	schlucken	schlucken	ʃ l ʊ k + ə n	Stammwort			swallow _-:inf	479 2		0
574	German	choke	ersticken	129	CHOKE	5-190	ersticken	ersticken	ɛ r + ˈ ʃ t ɪ k + ə n	Stammwort			_-:prefix/er stich _-:inf	198 1049 2		0
575	German	cook	(etwas) kochen	1100	COOK (SOMETHING)	5-210	kochen	kochen	k ɔ x + ə n	Entlehnung			*cook _-:inf	1085 2		0
576	German	boil (vb)	kochen	792	BOIL (OF LIQUID)	5-220	kochen	kochen	k ɔ x + ə n	Entlehnung			cook _-:inf	1085 2		0
577	German	roast, fry	braten	2146	ROAST OR FRY	5-230	rösten	rösten	r øː s t + ə n				roast _-:inf	912 2	specific	0
578	German	roast, fry	braten	2146	ROAST OR FRY	5-230	braten	braten	b r aː t + ə n	Stammwort			roast _-:inf	872 2		0
579	German	bake	backen	183	BAKE	5-240	backen	backen	b a k + ə n	Stammwort			bake:V _-:inf	561 2		0
580	German	oven	der Ofen	1143	OVEN	5-250	der Ofen	ofen	oː f ə n	Stammwort			oven	42		0
581	German	oven	der Backofen	1143	OVEN	5-250	der Backofen	backofen	b a k + oː f ə n				bake:V oven	561 42		0
582	German	pot, cooking vessel	der Kochtopf	3653	COOKING POT	5-260	der Topf	topf	t ɔ pf				pot	186		0
583	German	pot, cooking vessel	der Kochtopf	3653	COOKING POT	5-260	der Kochtopf	kochtopf	k ɔ x + t ɔ pf				*cook pot	1085 186		0
584	German	kettle	der Kessel	854	KETTLE	5-270	der Kessel	kessel	k ɛ s ə l	Entlehnung			kettle	1137		0
585	German	pan	die Pfanne	31	PAN	5-280	Pfanne	pfanne	pf a n ə	Entlehnung			pan	0		0
586	German	dish	die Schüssel	481	DISH	5-310	Schüssel	schüssel	ʃ y s ə l	Entlehnung			!bowl	1018		0
587	German	plate	der Teller	480	PLATE	5-320	der Teller	teller	t ɛ l ə r	Entlehnung	afrz	tailleor	plate	758		0
588	German	bowl	die Schüssel	1530	!BOWL	5-330	der Napf	napf	n a pf	Stammwort			bowl	0		0
589	German	bowl	die Schüssel	1530	BOWL	5-330	die Schale	schale	ʃ aː l + ə				scale _-:suffix.f.s/e	0 91		0
590	German	bowl	die Schüssel	1530	BOWL	5-330	die Schüssel	schüssel	ʃ y s ə l	Entlehnung			!bowl	1018		0
591	German	pitcher, jug	der Krug	270	JUG	5-340	der Krug	krug	k r uː k				?	0		0
592	German	cup, drinking vessel	die Tasse	476	CUP	5-350	die Tasse	tasse	t a s + ə	Entlehnung			cup _-:suffix.f.s/e	48 91		0
593	German	cup, drinking vessel	die Tasse	476	CUP	5-350	der Becher	becher	b ɛ ç ə r	Entlehnung	ml	bicarium	cup	849		0
594	German	saucer	die Untertasse	271	SAUCER	5-360	die Untertasse	untertasse	ʊ n t ə r + t a s + ə	E			_under cup _-:suffix.f.s/e	10 48 91		0
595	German	spoon	der Löffel	1378	SPOON	5-370	der Löffel	löffel	l œ f ə l				spoon	421		0
596	German	knife (2)	das Essmesser	3210	KNIFE (FOR EATING)	5-380	Messer	messer	m ɛ s ə r	Stammwort			?	0		0
597	German	fork (2)	die Gabel	1302	FORK	5-390	die Gabel	gabel	g aː b ə l	Stammwort			fork	106		0
598	German	tongs	die Zange	272	TONGS	5-391	die Zange	zange	ts a ŋ + ə	Stammwort			tongs _-:suffix.f.s/e	576 91		0
599	German	meal (a)	die Mahlzeit	1526	MEAL	5-410	die Mahlzeit	mahlzeit	m aː l + ts ai t				meal time	382 559		0
600	German	meal (a)	das Mahl	1526	MEAL	5-410	das Mahl	mahl	m aː l				meal	382		0
601	German	breakfast	das Frühstück	1322	BREAKFAST	5-420	das Frühstück	frühstück	f r yː + ʃ t y k	Stammwort			early piece	422 364		0
602	German	lunch	das Mittagessen	768	LUNCH	5-430	das Mittagessen	mittagessen	m ɪ t + t aː k/g + ɛ s + ə n				middle day eat _-:inf	528 594 0 2		0
603	German	dinner	Abendessen	1833	!DINNER (SUPPER)	5-440	das Mittagessen	mittagessen	m ɪ t + t aː k/g + ɛ s + ə n				middle day eat _-:inf	528 594 76 2		0
604	German	dinner	Abendessen	1833	DINNER (SUPPER)	5-440	das Abendessen	abendessen	aː b ə n d/t + ɛ s + ə n				evening eat _-:inf	470 76 2		0
605	German	supper	das Abendessen	1833	DINNER (SUPPER)	5-450	das Abendessen	abendessen	aː b ə n t/d + ɛ s + ə n	S S			evening eat _-:inf	470 154 2		0
606	German	supper	das Abendessen	1833	DINNER (SUPPER)	5-450	das Abendbrot	abendbrot	aː b ə n t/d + b r oː t				evening bread	470 812		0
607	German	peel	schälen	275	PEEL	5-460	schälen	schälen	ʃ ɛː l + ə n				scale _-:inf	0 2		0
608	German	sieve, strain	sieben (durchsieben)	3448	SIEVE OR STRAIN	5-470	durchsieben	durchsieben	d ʊ r ç + z iː b + ə n				through sieve _-:inf	336 338 2		0
609	German	sieve, strain	sieben (durchsieben)	3448	SIEVE OR STRAIN	5-470	durchseihen	durchseihen	d ʊ r ç + z ai + ə n				through sieve/seih- _-:inf	336 337 2		0
610	German	sieve, strain	sieben (durchsieben)	3448	SIEVE OR STRAIN	5-470	sieben	sieben	z iː b + ə n	Stammwort			sieve _-:inf	338 2		0
611	German	scrape	kratzen	1767	SCRAPE	5-480	kratzen	kratzen	k r a ts + ə n	Stammwort			scratch _-:inf	255 2		0
612	German	scrape	kratzen	1767	SCRAPE	5-480	schaben	schaben	ʃ aː b + ə n	Stammwort			scrape _-:inf	254 2	specific	0
613	German	stir, mix	vermischen	2017	MIX	5-490	verrühren	verrühren	f ɛ r + r yː r + ə n	Stammwort			_-:prefix/ver move _-:inf	138 443 2		0
614	German	stir, mix	vermischen	2017	MIX	5-490	vermischen	vermischen	f ɛ r + m ɪ ʃ + ə n	Entlehnung			_-:prefix/ver *mix _-:inf	138 444 2		0
615	German	bread	das Brot	1368	BREAD	5-510	das Brot	brot	b r oː t	Stammwort			bread	812		0
616	German	dough	der Teig	273	DOUGH	5-530	der Teig	teig	t ai k/g	Stammwort			dough	755		0
617	German	knead	kneten	274	KNEAD	5-540	kneten	kneten	k n eː t + ə n	Stammwort			knead _-:inf	1222 2		0
618	German	meal, flour	das Mehl	1594	FLOUR	5-550	das Mehl	mehl	m eː l	Stammwort			flour	0		0
619	German	crush, grind	mahlen	1033	GRIND	5-560	mahlen	mahlen	m aː l + ə n	Stammwort			grind _-:inf	379 2		0
620	German	mill	die Mühle	636	MILL	5-570	die Mühle	mühle	m yː l + ə	Entlehnung			mill _-:suffix.f.s/e	0 91		0
621	German	mortar (2)	der Mörser	224	MORTAR	5-580	Mörser	mörser	m œ r z ə r	Entlehnung			mortar	0		0
622	German	pestle	der Stößel	225	PESTLE	5-590	der Stößel	stößel	ʃ t øː s + ə l				push-in-front/stoßen _-:dim/el	1046 796		0
623	German	pestle	der Stößel	225	PESTLE	5-590	die Mörserkeule	mörserkeule	m œ r z + ə r + k ɔi l + ə 				mortar _-:suffix/er club _-:suffix/e	1227 100 1118 91		0
624	German	meat	das Fleisch	634	MEAT	5-610	das Fleisch	fleisch	f l ai ʃ	Stammwort			flesh	791		0
625	German	sausage	die Wurst	1874	SAUSAGE	5-630	die Wurst	wurst	v ʊ r s t	Stammwort			sausage	245		0
626	German	soup, broth	die Suppe	1547	SOUP	5-640	die Suppe	suppe	z ʊ p + ə	Stammwort			soup _-:suffix.f.s/e	392 91		0
627	German	soup, broth	die Suppe	1547	SOUP	5-640	die Brühe	brühe	b r yː + ə				brew _-:suffix.f.s/e	393 91		0
628	German	vegetables	das Gemü'se	924	VEGETABLES	5-650	Gemüse	gemüse	g ə + m yː z + ə	Stammwort			_-:prefix/ge vegetable _-:suffix.n.s/e	139 620 1244		0
629	German	bean	die Bohne	832	BEAN	5-660	die Bohne	bohne	b oː n + ə	Nicht etymologisierbar			bean _-:suffix.f.s/e	866 91		0
630	German	potato	die Kartoffel	593	POTATO	5-700	die Kartoffel	kartoffel	k a r t ɔ f ə l	Entlehnung			potato	485		0
631	German	potato	die Kartoffel	593	POTATO	5-700	der Erdapfel	erdapfel	ɛ r t/d + a pf ə l	Stammwort			earth apple	0 900		0
632	German	fruit	die Frucht	1507	FRUIT	5-710	die Frucht	frucht	f r ʊ x t	E			fruit	111		0
633	German	bunch	das Bund	1966	BUNCH	5-712	das Bund	bund	b ʊ n t/d	Stammwort			bunch	879	?	0
634	German	fig	die Feige	322	FIG	5-750	die Feige	feige	f ai g + ə	Entlehnung	prov	figa	!fig _-:suffix.f.s/e	301 91		0
635	German	grape	die Traube	920	GRAPE	5-760	die Traube	traube	t r au b + ə	Stammwort			grape _-:suffix.f.s/e	765 91		0
636	German	grape	die Traube	920	GRAPE	5-760	die Weinbeere	weinbeere	v ai n + b eː r + ə				wine berry _-:suffix.f.s/e	627 847 91		0
637	German	nut	die Nuss	191	NUT	5-770	die Nuss	nuss	n ʊ s				nut	0		0
638	German	olive	die Olive	1154	OLIVE	5-780	Olive	olive	oː l iː v ə	Entlehnung	l	olIva	*olive	0		0
639	German	oil	das Öl	1484	OIL (ORGANIC SUBSTANCE)	5-790	das Öl	öl	øː l	Entlehnung			?	0		0
640	German	grease, fat	das Fett	323	FAT (ORGANIC SUBSTANCE)	5-791	fett	fett	f ɛ t	Stammwort			fat:N	978		0
641	German	salt	das Salz	1274	SALT	5-810	das Salz	salz	z a l ts	Stammwort			salt	219		0
642	German	pepper	der Pfeffer	1385	PEPPER	5-820	der Pfeffer	pfeffer	pf ɛ f ə r	Entlehnung			pepper	0		0
643	German	chili pepper	der Chili	919	CHILI PEPPER	5-821	der Chili	chili	tʃ iː l iː	Entlehnung			*chili	0		0
644	German	honey	der Honig	942	HONEY	5-840	der Honig	honig	h oː n ɪ ç	Stammwort			honey	1103		0
645	German	sugar	der Zucker	862	SUGAR	5-850	der Zucker	zucker	ts ʊ k ə r	Entlehnung	it	zucchero	!sugar	467		0
646	German	milk (noun)	die Milch	635	MILK	5-860	Milch	milch	m ɪ l ç	Stammwort			milk	0		0
647	German	milk (vb)	melken	93	DRAW MILK	5-870	melken	melken	m ɛ l k + ə n	Stammwort			draw_milk _-:inf	0 2		0
648	German	cheese	der Käse	1569	CHEESE	5-880	der Käse	käse	k ɛː z + ə	Entlehnung			cheese _-:suffix.m.s/e	1139 1241		0
649	German	butter	die Butter	1245	BUTTER	5-890	die Butter	butter	b ʊ t ə r	Entlehnung			butter	880		0
650	German	beverage, drink	das Getränk	731	BEVERAGE	5-900	das Getränk	getränk	g ə + t r ɛ/ɪ ŋ k				_-:prefix/ge drink	139 767		0
651	German	mead	der Met	941	MEAD	5-910	der Met	met	m eː t	Stammwort			mead	0		0
652	German	wine	der Wein	1524	WINE	5-920	der Wein	wein	v ai n	Entlehnung			wine	627		0
653	German	beer	das Bier	1639	BEER	5-930	das Bier	bier	b iː r	Stammwort			beer	855		0
654	German	fermented drink	der Alkohol	404	!ALCOHOL (FERMENTED DRINK)	5-940	der Most	most	m ɔ s t	Entlehnung			fermented_drink	0		0
655	German	fermented drink	der Alkohol	404	ALCOHOL (FERMENTED DRINK)	5-940	der Alkohol	alkohol	a l k oː h oː l	E			fermented_drink	0		0
656	German	egg	das Ei	744	EGG	5-970	das Ei	ei	ai	Stammwort			egg	121		0
657	German	egg yolk	der Eidotter	1556	YOLK	5-971	der Eidotter	edotter	ai + d ɔ t ə r	Stammwort			egg egg-yolk	121 783		0
658	German	egg yolk	das Eigelb	1556	YOLK	5-971	das Eigelb	eigelb	ai + g ɛ l p/b				egg yellow	121 716		0
659	German	put on (clothes)	anziehen	158	PUT ON	6-110	anziehen	anziehen	a n + ts iː + ə n				_-on:prefix/an pull _-:inf	142 2 2		0
660	German	clothing, clothes	die Kleider	1895	CLOTHES	6-120	die Kleider	kleider	k l ai . d + ə r				cloth _-:pl/er	305 141		0
661	German	clothing, clothes	die Kleidung	1895	CLOTHES	6-120	die Kleidung	kleidung	k l ai . d + ʊ ŋ				cloth _-:suffix/ung	0 58		0
662	German	tailor	der Schneider	881	TAILOR	6-130	der Schneider	schneider	ʃ n ai d + ə r	Stammwort			cut _-:suffix/er	494 100		0
663	German	cloth	das Tuch	1616	CLOTH	6-210	das Tuch	tuch	t uː x	Stammwort			cloth	578		0
664	German	cloth	das Zeug	1616	CLOTH	6-210	das Zeug	zeug	ts ɔi k/g	Stammwort			things	685		0
665	German	cloth	der Stoff	1616	CLOTH	6-210	der Stoff	stoff	ʃ t ɔ f	Entlehnung			cloth	575		0
666	German	wool	die Wolle	964	WOOL	6-220	die Wolle	wolle	v ɔ l + ə	Stammwort			wool _-:suffix.f.s/e	1203 91		0
667	German	linen, flax	das Leinen		!LINEN	6-230	das Leinen	leinen	l ai n + ə n	Stammwort			linen _-:suffix.n.s/en	1199 1214		0
669	German	linen, flax	das Flachs		!FLAX	6-230	das Flachs	flachs	f l a k s	Stammwort			flax	985		0
668	German	canvas	die Leinwand		!FLAX OR LINEN	6-230	die Leinwand	leinwand	l ai n + v a n t/d	Stammwort			linen wall	1199 638		0
670	German	cotton	die Baumwolle	1850	COTTON	6-240	die Baumwolle	baumwolle	b au m + v ɔ l + ə	Stammwort			tree wool _-:suffix.f.s/e	125 574 91		0
671	German	silk	die Seide	1641	SILK	6-250	die Seide	seide	z ai d + ə	Entlehnung			silk _-:suffix.f.s/e	7 91		0
672	German	felt	der Filz	325	FELT	6-270	Filz	filz	f ɪ l ts	Stammwort			felt/Filz	981		0
673	German	fur	das Fell (der Pelz)	580	FUR	6-280	der Pelz	pelz	p ɛ l ts	Entlehnung			pelt	0		0
674	German	leather	das Leder	629	LEATHER	6-290	das Leder	leder	l eː d ə r	Stammwort			leather	0		0
675	German	spin	spinnen	121	SPIN	6-310	spinnen	spinnen	ʃ p ɪ n + ə n	Stammwort			spin _-:inf	405 2		0
676	German	spindle	die Spindel	277	SPINDLE	6-320	die Spindel	spindel	ʃ p ɪ n + d ə l	Stammwort			spin !/del	405 407		0
677	German	weave	weben	133	WEAVE	6-330	weben	weben	v eː b + ə n	Stammwort			weave _-:inf	653 2		0
678	German	loom	der Webstuhl	1787	LOOM	6-340	der Webstuhl	webstuhl	v eː p/b + ʃ t uː l				weave chair	653 1012		0
679	German	sew	nähen	1457	SEW	6-350	nähen	nähen	n ɛː + ə n	Stammwort			sew _-:inf	271 2		0
680	German	needle	die Nadel	1382	NEEDLE (FOR SEWING)	6-360	die Nadel	nadel	n aː d ə l	Stammwort			needle	899		0
681	German	awl	die Ahle	278	AWL	6-370	die Ahle	ahle	aː l + ə	Stammwort			awl _-:suffix.f.s/e	926 91		0
682	German	awl	die Ahle	278	AWL	6-370		pfriem	pf r iː m				awl	1223		0
683	German	thread	der Faden	1161	THREAD	6-380	der Faden	faden	f aː d + ə n	Stammwort			thread _-:suffix.m.s/en	553 922		0
684	German	dye	färben	157	DYE	6-390	färben	färben	f ɛ r b + ə n				dye _-:inf	973 2		0
685	German	cloak	der Mantel	326	CLOAK	6-410	der Mantel	mantel	m a n . t + ə l	Hybridbildung			? _-:dim/el	0 796		0
686	German	poncho	der poncho	327	PONCHO	6-411	der Poncho	poncho	p ɔ n t ʃ oː	Entlehnung	span	poncho	poncho	0		0
687	German	woman's dress	das Kleid	474	DRESS	6-420	das Kleid	kleid	k l ai t/d	Stammwort			clothes	696		0
688	German	coat	die Jacke	603	COAT	6-430	die Jacke	jacke	j a . k + ə	E			coat _-:suffix.f.s/e	0 91		0
689	German	shirt	das Hemd	1622	SHIRT	6-440	das Hemd	hemd	h ɛ m t/d	Stammwort			shirt	1094		0
690	German	collar	der Kragen	2012	COLLAR	6-450	Kragen	kragen	k r aː g + ə n	Stammwort			colar _-:suffix.m.s/en	0 922		0
691	German	skirt	der Rock	1600	SKIRT	6-460	der Rock	rock	r ɔ k	Stammwort			skirt	352		0
692	German	grass-skirt	der Grasrock	328	GRASS-SKIRT	6-461	der Grasrock	grasrock	g r a s + r o k				grass skirt	122 123		0
693	German	trousers	die Hose	809	TROUSERS	6-480	die Hose	hose	h oː z + ə				trousers _-:suffix.f.s/e	584 91		0
694	German	trousers	die Hose	809	TROUSERS	6-480	das Beinkleid	beinkleid	b ai n + k l ai d				bone→leg clothes	325 587	old	0
695	German	stocking, sock	der Strumpf	329	STOCKING	6-490	der Strumpf	strumpf	ʃ t r ʊ m pf	Stammwort			stocking	448		0
696	German	stocking, sock	der Strumpf	329	STOCKING	6-490	der Socke	socke	z ɔ k + ə	Entlehnung			socks _-:suffix.m.s/e	445 1241		0
697	German	shoe	der Schuh	1381	SHOE	6-510	der Schuh	schuh	ʃ uː	Stammwort			shoe	283		0
698	German	boot	der Stiefel	585	BOOT	6-520	der Stiefel	stiefel	ʃ t iː f + ə l				boots _-:dim/el	800 796		0
699	German	shoemaker, cobbler	der Schuster	875	SHOEMAKER	6-540	der Schuhmacher	schuhmacher	ʃ uː + m a x + ə r				shoe make _-:suffix/er	283 284 100		0
700	German	shoemaker, cobbler	der Schuster	875	SHOEMAKER	6-540	der Schuster	schuster	ʃ uː + s + t ə r	Hybridbildung			shoe _-:infix/s _-:n.m/ter	283 333 520	?	0
701	German	hat, cap	die Kopfbedeckung	2130	HEADGEAR	6-550	der Hut	hut	h uː t				hat	1105		0
702	German	hat, cap	die Kopfbedeckung	2130	HEADGEAR	6-550	die Mütze	mütze	m y ts ə	Entlehnung			?	0		0
703	German	belt, girdle	der Gürtel	772	BELT	6-570	der Gürtel	gürtel	g y/ʊ r t + ə l				belt _-:dim/el	362 796		0
704	German	glove	der Handschuh	867	GLOVE	6-580	der Handschuh	handschuh	h a n t/d + ʃ uː	Stammwort			hand shoe	577 283		0
705	German	veil	der Schleier	1151	VEIL	6-590	Schleier	schleier	ʃ l ai ə r	Nicht etymologisierbar			veil	1028		0
706	German	pocket	die Tasche	1851	POCKET	6-610	die Tasche	tasche	t a ʃ + ə	Stammwort			pocket _-:suffix.f.s/e	124 91		0
707	German	button	der Knopf	757	BUTTON	6-620	der Knopf	knopf	k n ɔ pf	Stammwort			button	1221		0
708	German	pin	die Stecknadel	64	PIN	6-630	die Stecknadel	stecknadel	ʃ t ɛ k + n aː d ə l				stick needle	428 899		0
709	German	ornament, adornment	der Schmuck	917	ORNAMENT	6-710	der Schmuck	schmuck	ʃ m ʊ k				ornament	1035		0
710	German	jewel	das Juwel	1029	JEWEL	6-720	Juwel	juwel	j uː v eː l	Entlehnung	mndl	juweel	?	0		0
711	German	jewel	das Juwel	1029	JEWEL	6-720	Kleinod	kleinod	k l ai n + oː t/d	Stammwort			small ?	365 ?	unusual	0
712	German	ring (for finger)	der Ring	1374	RING	6-730	Ring	ring	r ɪ ŋ	Stammwort			ring	16		0
713	German	bracelet	das Armband	1754	BRACELET	6-740	das Armband	armband	a r m + b a n t/d				arm band	227 128		0
714	German	necklace	das Halsband	1961	NECKLACE	6-750	das Halsband	halsband	h a l s + b a n t/d				neck band	349 128		0
715	German	bead	die Perle	1860	BEAD	6-760	die Perle	perle	p ɛ r l + ə	Entlehnung			*pearl _-:suffix.f.s/e	0 91		0
716	German	earring	der Ohrring	770	EARRING	6-770	der Ohrring	ohrring	oː r + r ɪ ŋ				ear ring	14 16		0
717	German	headband, headdress	das Kopfband	3457	!HEADBAND OR HEADDRESS	6-780	das Kopfband	kopfband	k ɔ pf + b a n t/d				head band	20 128		0
718	German	headband, headdress	das Stirnband	3457	!HEADBAND OR HEADDRESS	6-780	das Stirnband	stirnband	ʃ t ɪ r n + b a n t/d				forehead band	130 128		0
719	German	tattoo	die Tätowierung	68	TATTOO	6-790	die Tätowierung	tätowierung	t ɛ t o v iː r + ʊ ŋ	E			tattoo _-:suffix/ung	38 58		0
720	German	handkerchief, rag	das Taschentuch	332	RAG	6-810	das Taschentuch	taschentuch	t a ʃ + ə + n + t uː x				pocket _-:suffix.f.s/e _-:infix/n ?	1175 91 104 578		0
721	German	handkerchief, rag	das Taschentuch	332	!RAG	6-810	das Schnupftuch	schnupftuch	ʃ n ʊ pf + t uː x				sneeze cloth	1037 578	old	0
722	German	towel	das Handtuch	1021	TOWEL	6-820	das Handtuch	handtuch	h a n t/d + t uː x				hand cloth	577 578		0
723	German	comb	der Kamm	1475	COMB	6-910	Kamm	kamm	k a m	Stammwort			comb	1123		0
724	German	brush	die Bürste	1821	BRUSH	6-920	die Bürste	bürste	b y r s t + ə	Stammwort			brush _-:suffix.f.s/e	884 91		0
725	German	braid	der Zopf	1043	BRAID	6-921	der Zopf	zopf	ts ɔ pf	Stammwort			braid	706		0
726	German	razor	der Rasierer	151	RAZOR	6-930	Rasierer	Rasierer	r a z iː r + ə r	E			shave _-:suffix/er	894 100		0
727	German	ointment	die Salbe	1926	OINTMENT	6-940	die Salbe	salbe	z a l b + ə	Stammwort			ointment _-:suffix.f.s/e	229 91		0
728	German	soap	die Seife	788	SOAP	6-950	die Seife	seife	z ai f + ə	Stammwort			soap _-:suffix.f.s/e	374 91		0
