# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	OCOGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT
133	German	drink (V)	19	trɪŋkən	t r ɪ ŋ k ə n	36	1 5 7 4 1 7 4	ACXMBYN	TRINKEN	4	4.T.C 4.R.C 4.I.V 4.N.c 4.K.C 4.E.V 4.N.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	0	83	t r ɪ ŋ k ə n
134	English	drink (V)	19	drɪŋk	d r ɪ ŋ k	36	1 5 7 4 1	ACXLN	TRINK	3	3.T.C 3.R.C 3.I.V 3.N.c 3.K.c	2.0 1.5 1.5 1.1 0.8	0	83	d r ɪ ŋ k - -
135	Danish	drink (V)	19	dʁɛgə	d ʁ ɛ g ə	36	1 5 7 1 7	ACXBZ	TREKE	1	1.T.C 1.R.C 1.E.V 1.K.C 1.E.V	2.0 1.5 1.5 1.75 0.8	0	83	d ʁ ɛ - g ə -
136	Swedish	drink (V)	19	drikːa	d r i kː a	36	1 5 7 1 7	ACXBZ	TRIKA	7	7.T.C 7.R.C 7.I.V 7.K.C 7.A.V	2.0 1.5 1.5 1.75 0.8	0	83	d r i - kː a -
137	Icelandic	drink (V)	19	trɛʰka	t r ɛʰ k a	36	1 5 7 1 7	ACXBZ	TREKA	5	5.T.C 5.R.C 5.E.V 5.K.C 5.A.V	2.0 1.5 1.5 1.75 0.8	0	83	t r ɛʰ - k a -
138	Dutch	drink (V)	19	drɪŋkə	d r ɪ ŋ k ə	36	1 5 7 4 1 7	ACXMBZ	TRINKE	2	2.T.C 2.R.C 2.I.V 2.N.c 2.K.C 2.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	83	d r ɪ ŋ k ə -
139	Norwegian	drink (V)	19	dɾikə	d ɾ i k ə	-36	1 5 7 1 7	ACXBZ	TRIKE	6	6.T.C 6.R.C 6.I.V 6.K.C 6.E.V	2.0 1.5 1.5 1.75 0.8	0	83	d ɾ i - k ə -
#
140	German	dry	20	trɔkən	t r ɔ k ə n	38	1 5 7 1 7 4	ACXBYN	TRUKEN	4	4.T.C 4.R.C 4.U.V 4.K.C 4.E.V 4.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	87	t r ɔ k ə n
141	English	dry	20	draɪ	d r aɪ	38	1 5 7	ACX	TRA	3	3.T.C 3.R.C 3.A.V	2.0 1.5 1.5	0	85	d r aɪ -
142	Danish	dry	20	tɶˀʁ	t ɶˀ ʁ	37	1 7 5	AXN	TUR	1	1.T.C 1.U.V 1.R.c	2.0 1.5 0.8	0	84	t ɶˀ ʁ
143	Swedish	dry	20	torː	t o rː	37	1 7 5	AXN	TUR	7	7.T.C 7.U.V 7.R.c	2.0 1.5 0.8	0	84	t o rː
144	Icelandic	dry	20	θʏrː	θ ʏ rː	37	3 7 5	AXN	DYR	5	5.D.C 5.Y.V 5.R.c	2.0 1.5 0.8	0	84	θ ʏ rː
145	Dutch	dry	20	droːx	d r oː x	38	1 5 7 3	ACXN	TRUG	2	2.T.C 2.R.C 2.U.V 2.G.c	2.0 1.5 1.5 0.8	0	85	d r oː x
146	Norwegian	dry	20	tœɾ	t œ ɾ	37	1 7 5	AXN	TUR	6	6.T.C 6.U.V 6.R.c	2.0 1.5 0.8	0	84	t œ ɾ
#
147	German	ear	21	oːr	oː r	39	7 5	XN	UR	4	4.U.V 4.R.c	1.5 0.8	0	89	oː r
148	English	ear	21	ɪər	ɪə r	39	7 5	XN	IR	3	3.I.V 3.R.c	1.5 0.8	0	89	ɪə r
149	Danish	ear	21	øːʌ	øːʌ	39	7	X	U	1	1.U.V	1.5	0	88	øːʌ
150	Swedish	ear	21	øːra	øː r a	39	7 5 7	XBZ	URA	7	7.U.V 7.R.C 7.A.V	1.5 1.75 0.8	0	92	øː r a
151	Icelandic	ear	21	eiːra	eiː r a	39	7 5 7	XBZ	ERA	5	5.E.V 5.R.C 5.A.V	1.5 1.75 0.8	0	92	eiː r a
152	Dutch	ear	21	oːr	oː r	39	7 5	XN	UR	2	2.U.V 2.R.c	1.5 0.8	0	89	oː r
153	Norwegian	ear	21	øːɾə	øː ɾ ə	39	7 5 7	XBZ	URE	6	6.U.V 6.R.C 6.E.V	1.5 1.75 0.8	0	92	øː ɾ ə
#
154	German	earth	22	eːrdə	eː r d ə	40	7 5 1 7	XMBZ	ERTE	4	4.E.V 4.R.c 4.T.C 4.E.V	1.5 1.1 1.75 0.8	0	94	eː r d ə
155	English	earth	22	ɜːrθ	ɜː r θ	40	7 5 3	XLN	ERD	3	3.E.V 3.R.c 3.D.c	1.5 1.1 0.8	0	95	ɜː r θ
156	Danish	earth	22	joˀʁ	j oˀ ʁ	40	6 7 5	AXN	JUR	1	1.J.C 1.U.V 1.R.c	2.0 1.5 0.8	0	93	j oˀ ʁ -
157	Swedish	earth	22	joːrd	j oː r d	40	6 7 5 1	AXLN	JURT	7	7.J.C 7.U.V 7.R.c 7.T.c	2.0 1.5 1.1 0.8	0	93	j oː r d
158	Icelandic	earth	22	jœrð	j œ r ð	40	6 7 5 3	AXLN	JURD	5	5.J.C 5.U.V 5.R.c 5.D.c	2.0 1.5 1.1 0.8	0	93	j œ r ð
159	Dutch	earth	22	aːrdə	aː r d ə	40	7 5 1 7	XMBZ	ARTE	2	2.A.V 2.R.c 2.T.C 2.E.V	1.5 1.1 1.75 0.8	0	94	aː r d ə
160	Norwegian	earth	22	juːɾ	j uː ɾ	-40	6 7 5	AXN	JYR	6	6.J.C 6.Y.V 6.R.c	2.0 1.5 0.8	0	93	j uː ɾ -
#
161	German	eat (V)	23	ɛsən	ɛ s ə n	42	7 3 7 4	XBYN	ESEN	4	4.E.V 4.S.C 4.E.V 4.N.c	1.5 1.75 1.3 0.8	0	99	ɛ s ə n
162	English	eat (V)	23	iːt	iː t	42	7 1	XN	IT	3	3.I.V 3.T.c	1.5 0.8	0	98	iː t
163	Danish	eat (V)	23	sbiːsə	s b iː s ə	-41	3 1 7 3 7	ACYBZ	SPISE	1	1.S.C 1.P.C 1.I.V 1.S.C 1.E.V	2.0 1.5 1.3 1.75 0.8	0	96	s b iː s ə
164	Swedish	eat (V)	23	ɛːta	ɛː t a	42	7 1 7	XBZ	ETA	7	7.E.V 7.T.C 7.A.V	1.5 1.75 0.8	0	97	ɛː t a
165	Icelandic	eat (V)	23	pɔrða	p ɔ r ð a	43	1 7 5 3 7	AXMBZ	PURDA	5	5.P.C 5.U.V 5.R.c 5.D.C 5.A.V	2.0 1.5 1.1 1.75 0.8	0	100	p ɔ r ð a
166	Dutch	eat (V)	23	eːtə	eː t ə	42	7 1 7	XBZ	ETE	2	2.E.V 2.T.C 2.E.V	1.5 1.75 0.8	0	97	eː t ə
167	Norwegian	eat (V)	23	spiːsə	s p iː s ə	-41	3 1 7 3 7	ACYBZ	SPISE	6	6.S.C 6.P.C 6.I.V 6.S.C 6.E.V	2.0 1.5 1.3 1.75 0.8	0	96	s p iː s ə
#
168	German	egg	24	ai	ai	44	7	X	A	4	4.A.V	1.5	0	102	ai
169	English	egg	24	ɛɡ	ɛ ɡ	44	7 1	XN	EK	3	3.E.V 3.K.c	1.5 0.8	0	101	ɛ ɡ
170	Danish	egg	24	ɛˀg	ɛˀ g	44	7 1	XN	EK	1	1.E.V 1.K.c	1.5 0.8	0	101	ɛˀ g
171	Swedish	egg	24	egː	e gː	44	7 1	XN	EK	7	7.E.V 7.K.c	1.5 0.8	0	101	e gː
172	Icelandic	egg	24	ɛkː	ɛ kː	44	7 1	XN	EK	5	5.E.V 5.K.c	1.5 0.8	0	101	ɛ kː
173	Dutch	egg	24	ɛɪ	ɛɪ	44	7	X	E	2	2.E.V	1.5	0	102	ɛɪ
174	Norwegian	egg	24	eg	e g	44	7 1	XN	EK	6	6.E.V 6.K.c	1.5 0.8	0	101	e g
#
175	German	eye	25	auɡə	au ɡ ə	45	7 1 7	XBZ	AKE	4	4.A.V 4.K.C 4.E.V	1.5 1.75 0.8	0	106	au ɡ ə
176	English	eye	25	aɪ	aɪ	45	7	X	A	3	3.A.V	1.5	1	105	aɪ
177	Danish	eye	25	ʌjə	ʌ j ə	45	7 6 7	XBZ	EJE	1	1.E.V 1.J.C 1.E.V	1.5 1.75 0.8	0	103	ʌ j ə
178	Swedish	eye	25	øːga	øː g a	45	7 1 7	XBZ	UKA	7	7.U.V 7.K.C 7.A.V	1.5 1.75 0.8	0	106	øː g a
179	Icelandic	eye	25	øyːɣa	øyː ɣ a	45	7 3 7	XBZ	UGA	5	5.U.V 5.G.C 5.A.V	1.5 1.75 0.8	0	106	øyː ɣ a
180	Dutch	eye	25	oːx	oː x	45	7 3	XN	UG	2	2.U.V 2.G.c	1.5 0.8	0	104	oː x
181	Norwegian	eye	25	œjə	œ j ə	45	7 6 7	XBZ	UJE	6	6.U.V 6.J.C 6.E.V	1.5 1.75 0.8	0	103	œ j ə
#
732	German	far	101	fɛrn	f ɛ r n	163	3 7 5 4	AXLN	BERN	4	4.B.C 4.E.V 4.R.c 4.N.c	2.0 1.5 1.1 0.8	0	108	f ɛ r n
733	English	far	101	fɑːr	f ɑː r	163	3 7 5	AXN	BAR	3	3.B.C 3.A.V 3.R.c	2.0 1.5 0.8	0	108	f ɑː r -
734	Danish	far	101	fjæʁˀn	f j æ ʁˀ n	163	3 6 7 5 4	ACXLN	BJERN	1	1.B.C 1.J.C 1.E.V 1.R.c 1.N.c	2.0 1.5 1.5 1.1 0.8	0	107	f j æ ʁˀ - n
735	Swedish	far	101	loŋ	l o ŋ	162	5 7 4	AXN	LUN	7	7.L.C 7.U.V 7.N.c	2.0 1.5 0.8	0	111	l o ŋ
736	Icelandic	far	101	laŋ	l a ŋ	162	5 7 4	AXN	LAN	5	5.L.C 5.A.V 5.N.c	2.0 1.5 0.8	0	111	l a ŋ
737	Dutch	far	101	vɛr	v ɛ r	163	3 7 5	AXN	BER	2	2.B.C 2.E.V 2.R.c	2.0 1.5 0.8	0	108	v ɛ r -
738	Norwegian	far	101	buʈ	b u ʈ	162	1 7 1	AXN	PYT	6	6.P.C 6.Y.V 6.T.c	2.0 1.5 0.8	0	112	b u ʈ
739	Danish	far	101	lɑŋˀ	l ɑ ŋˀ	162	5 7 4	AXN	LAN	1	1.L.C 1.A.V 1.N.c	2.0 1.5 0.8	1	111	l ɑ ŋˀ
740	Swedish	far	101	fjɛrːan	f j ɛ rː a n	163	3 6 7 5 7 4	ACXBYN	BJERAN	7	7.B.C 7.J.C 7.E.V 7.R.C 7.A.V 7.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	107	f j ɛ rː a n
#
182	German	fat	26	fɛt	f ɛ t	-46	3 7 1	AXN	BET	4	4.B.C 4.E.V 4.T.c	2.0 1.5 0.8	0	113	f ɛ t -
183	English	fat	26	fæt	f æ t	46	3 7 1	AXN	BET	3	3.B.C 3.E.V 3.T.c	2.0 1.5 0.8	0	113	f æ t -
184	Danish	fat	26	fed	f e d	46	3 7 1	AXN	BET	1	1.B.C 1.E.V 1.T.c	2.0 1.5 0.8	0	113	f e d -
185	Swedish	fat	26	fɛt	f ɛ t	46	3 7 1	AXN	BET	7	7.B.C 7.E.V 7.T.c	2.0 1.5 0.8	0	113	f ɛ t -
186	Icelandic	fat	26	fɪːta	f ɪː t a	46	3 7 1 7	AXBZ	BITA	5	5.B.C 5.I.V 5.T.C 5.A.V	2.0 1.5 1.75 0.8	0	113	f ɪː t a
187	Dutch	fat	26	vɛt	v ɛ t	46	3 7 1	AXN	BET	2	2.B.C 2.E.V 2.T.c	2.0 1.5 0.8	0	113	v ɛ t -
188	Norwegian	fat	26	fet	f e t	-46	3 7 1	AXN	BET	6	6.B.C 6.E.V 6.T.c	2.0 1.5 0.8	0	113	f e t -
#
189	German	feather	27	feːdər	f eː d ə r	47	3 7 1 7 5	AXBYN	BETER	4	4.B.C 4.E.V 4.T.C 4.E.V 4.R.c	2.0 1.5 1.75 1.3 0.8	0	114	f - eː d ə r
190	English	feather	27	fɛðər	f ɛ ð ə r	47	3 7 3 7 5	AXBYN	BEDER	3	3.B.C 3.E.V 3.D.C 3.E.V 3.R.c	2.0 1.5 1.75 1.3 0.8	0	114	f - ɛ ð ə r
191	Danish	feather	27	fjeðˀʌ	f j e ðˀ ʌ	47	3 6 7 3 7	ACXBZ	BJEDE	1	1.B.C 1.J.C 1.E.V 1.D.C 1.E.V	2.0 1.5 1.5 1.75 0.8	0	114	f j e ðˀ ʌ -
192	Swedish	feather	27	fjɛːder	f j ɛː d e r	47	3 6 7 1 7 5	ACXBYN	BJETER	7	7.B.C 7.J.C 7.E.V 7.T.C 7.E.V 7.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	114	f j ɛː d e r
193	Icelandic	feather	27	fjœːðʏr	f j œː ð ʏ r	47	3 6 7 3 7 5	ACXBYN	BJUDYR	5	5.B.C 5.J.C 5.U.V 5.D.C 5.Y.V 5.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	114	f j œː ð ʏ r
194	Dutch	feather	27	veːr	v eː r	47	3 7 5	AXN	BER	2	2.B.C 2.E.V 2.R.c	2.0 1.5 0.8	0	115	v - eː r
195	Norwegian	feather	27	fjæːɾ	f j æː ɾ	47	3 6 7 5	ACXN	BJER	6	6.B.C 6.J.C 6.E.V 6.R.c	2.0 1.5 1.5 0.8	0	115	f j æː ɾ
#
196	German	fire	28	fɔyər	f ɔyə r	48	3 7 5	AXN	BUR	4	4.B.C 4.U.V 4.R.c	2.0 1.5 0.8	0	117	f ɔyə r
197	English	fire	28	faɪər	f aɪə r	48	3 7 5	AXN	BAR	3	3.B.C 3.A.V 3.R.c	2.0 1.5 0.8	0	117	f aɪə r
198	Danish	fire	28	ilˀ	i lˀ	50	7 5	XN	IL	1	1.I.V 1.L.c	1.5 0.8	0	116	i lˀ
199	Swedish	fire	28	elːd	e lː d	50	7 5 1	XLN	ELT	7	7.E.V 7.L.c 7.T.c	1.5 1.1 0.8	0	122	e lː d
200	Icelandic	fire	28	ɛltʏr	ɛ l t ʏ r	50	7 5 1 7 5	XMBYN	ELTYR	5	5.E.V 5.L.c 5.T.C 5.Y.V 5.R.c	1.5 1.1 1.75 1.3 0.8	0	120	ɛ l t ʏ r
201	Dutch	fire	28	vyːr	v yː r	48	3 7 5	AXN	BYR	2	2.B.C 2.Y.V 2.R.c	2.0 1.5 0.8	0	117	v yː r
202	Norwegian	fire	28	ʋɑɾmə	ʋ ɑ ɾ m ə	49	6 7 5 4 7	AXMBZ	WARME	6	6.W.C 6.A.V 6.R.c 6.M.C 6.E.V	2.0 1.5 1.1 1.75 0.8	0	121	ʋ ɑ ɾ m ə
203	Norwegian	fire	28	il	i l	50	7 5	XN	IL	6	6.I.V 6.L.c	1.5 0.8	0	116	i l
#
204	German	fish	29	fɪʃ	f ɪ ʃ	51	3 7 3	AXN	BIS	4	4.B.C 4.I.V 4.S.c	2.0 1.5 0.8	0	123	f ɪ ʃ -
205	English	fish	29	fɪʃ	f ɪ ʃ	51	3 7 3	AXN	BIS	3	3.B.C 3.I.V 3.S.c	2.0 1.5 0.8	0	123	f ɪ ʃ -
206	Danish	fish	29	fesg	f e s g	51	3 7 3 1	AXLN	BESK	1	1.B.C 1.E.V 1.S.c 1.K.c	2.0 1.5 1.1 0.8	0	123	f e s g
207	Swedish	fish	29	fisːk	f i sː k	51	3 7 3 1	AXLN	BISK	7	7.B.C 7.I.V 7.S.c 7.K.c	2.0 1.5 1.1 0.8	0	123	f i sː k
208	Icelandic	fish	29	fɪskʏr	f ɪ s k ʏ r	51	3 7 3 1 7 5	AXMBYN	BISKYR	5	5.B.C 5.I.V 5.S.c 5.K.C 5.Y.V 5.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	127	f ɪ s k ʏ r
209	Dutch	fish	29	vɪs	v ɪ s	51	3 7 3	AXN	BIS	2	2.B.C 2.I.V 2.S.c	2.0 1.5 0.8	0	123	v ɪ s -
210	Norwegian	fish	29	fisk	f i s k	51	3 7 3 1	AXLN	BISK	6	6.B.C 6.I.V 6.S.c 6.K.c	2.0 1.5 1.1 0.8	0	123	f i s k
#
211	German	fly (V)	30	fliːɡən	f l iː ɡ ə n	52	3 5 7 1 7 4	ACXBYN	BLIKEN	4	4.B.C 4.L.C 4.I.V 4.K.C 4.E.V 4.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	128	f l iː ɡ ə n
212	English	fly (V)	30	flaɪ	f l aɪ	52	3 5 7	ACX	BLA	3	3.B.C 3.L.C 3.A.V	2.0 1.5 1.5	0	128	f l aɪ - - -
213	Danish	fly (V)	30	flyːvə	f l yː v ə	52	3 5 7 3 7	ACXBZ	BLYBE	1	1.B.C 1.L.C 1.Y.V 1.B.C 1.E.V	2.0 1.5 1.5 1.75 0.8	0	128	f l yː v ə -
214	Swedish	fly (V)	30	flʉga	f l ʉ g a	52	3 5 7 1 7	ACXBZ	BLYKA	7	7.B.C 7.L.C 7.Y.V 7.K.C 7.A.V	2.0 1.5 1.5 1.75 0.8	0	128	f l ʉ g a -
215	Icelandic	fly (V)	30	fljuːa	f l j uːa	52	3 5 6 7	ACCX	BLJY	5	5.B.C 5.L.C 5.J.C 5.Y.V	2.0 1.5 1.5 1.5	0	132	f l j uːa
216	Dutch	fly (V)	30	vliːɣə	v l iː ɣ ə	52	3 5 7 3 7	ACXBZ	BLIGE	2	2.B.C 2.L.C 2.I.V 2.G.C 2.E.V	2.0 1.5 1.5 1.75 0.8	0	128	v l iː ɣ ə -
217	Norwegian	fly (V)	30	flyː	f l yː	52	3 5 7	ACX	BLY	6	6.B.C 6.L.C 6.Y.V	2.0 1.5 1.5	0	128	f l yː - - -
#
218	German	foot	31	fuːs	f uː s	53	3 7 3	AXN	BYS	4	4.B.C 4.Y.V 4.S.c	2.0 1.5 0.8	0	136	f uː s
219	English	foot	31	fʊt	f ʊ t	53	3 7 1	AXN	BYT	3	3.B.C 3.Y.V 3.T.c	2.0 1.5 0.8	0	133	f ʊ t
220	Danish	foot	31	foˀð	f oˀ ð	53	3 7 3	AXN	BUD	1	1.B.C 1.U.V 1.D.c	2.0 1.5 0.8	0	133	f oˀ ð
221	Swedish	foot	31	foːt	f oː t	53	3 7 1	AXN	BUT	7	7.B.C 7.U.V 7.T.c	2.0 1.5 0.8	0	133	f oː t
222	Icelandic	foot	31	fouːtʏr	f ouː t ʏ r	53	3 7 1 7 5	AXBYN	BUTYR	5	5.B.C 5.U.V 5.T.C 5.Y.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	137	f ouː t ʏ r
223	Dutch	foot	31	vuːt	v uː t	53	3 7 1	AXN	BYT	2	2.B.C 2.Y.V 2.T.c	2.0 1.5 0.8	0	133	v uː t
224	Norwegian	foot	31	fuːt	f uː t	53	3 7 1	AXN	BYT	6	6.B.C 6.Y.V 6.T.c	2.0 1.5 0.8	0	133	f uː t
#
225	German	full	32	fɔl	f ɔ l	54	3 7 5	AXN	BUL	4	4.B.C 4.U.V 4.L.c	2.0 1.5 0.8	0	138	f ɔ l
226	English	full	32	fʊl	f ʊ l	54	3 7 5	AXN	BYL	3	3.B.C 3.Y.V 3.L.c	2.0 1.5 0.8	0	138	f ʊ l
227	Danish	full	32	fulˀ	f u lˀ	54	3 7 5	AXN	BYL	1	1.B.C 1.Y.V 1.L.c	2.0 1.5 0.8	0	138	f u lˀ
228	Swedish	full	32	fulː	f u lː	54	3 7 5	AXN	BYL	7	7.B.C 7.Y.V 7.L.c	2.0 1.5 0.8	0	138	f u lː
229	Icelandic	full	32	fʏt͡lʏr	f ʏ t͡l ʏ r	54	3 7 1 7 5	AXBYN	BYTYR	5	5.B.C 5.Y.V 5.T.C 5.Y.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	142	f ʏ t͡l ʏ r
230	Dutch	full	32	vɔl	v ɔ l	54	3 7 5	AXN	BUL	2	2.B.C 2.U.V 2.L.c	2.0 1.5 0.8	0	138	v ɔ l
231	Norwegian	full	32	fʉl	f ʉ l	54	3 7 5	AXN	BYL	6	6.B.C 6.Y.V 6.L.c	2.0 1.5 0.8	0	138	f ʉ l
#
232	German	give (V)	33	ɡeːbən	ɡ eː b ə n	55	1 7 1 7 4	AXBYN	KEPEN	4	4.K.C 4.E.V 4.P.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	0	146	ɡ eː b ə n
233	English	give (V)	33	ɡɪv	ɡ ɪ v	55	1 7 3	AXN	KIB	3	3.K.C 3.I.V 3.B.c	2.0 1.5 0.8	0	143	ɡ ɪ v
234	Danish	give (V)	33	giˀ	g iˀ	55	1 7	AX	KI	1	1.K.C 1.I.V	2.0 1.5	0	143	g iˀ -
235	Swedish	give (V)	33	jiːva	j iː v a	55	6 7 3 7	AXBZ	JIBA	7	7.J.C 7.I.V 7.B.C 7.A.V	2.0 1.5 1.75 0.8	0	149	j iː v a
236	Icelandic	give (V)	33	cɛːva	c ɛː v a	55	1 7 3 7	AXBZ	CEBA	5	5.C.C 5.E.V 5.B.C 5.A.V	2.0 1.5 1.75 0.8	0	144	c ɛː v a
237	Dutch	give (V)	33	xeːvə	x eː v ə	55	3 7 3 7	AXBZ	GEBE	2	2.G.C 2.E.V 2.B.C 2.E.V	2.0 1.5 1.75 0.8	0	144	x eː v ə
238	Norwegian	give (V)	33	jiː	j iː	55	6 7	AX	JI	6	6.J.C 6.I.V	2.0 1.5	0	148	j iː
#
239	German	good	34	ɡuːt	ɡ uː t	56	1 7 1	AXN	KYT	4	4.K.C 4.Y.V 4.T.c	2.0 1.5 0.8	0	151	ɡ uː t
240	English	good	34	ɡʊd	ɡ ʊ d	56	1 7 1	AXN	KYT	3	3.K.C 3.Y.V 3.T.c	2.0 1.5 0.8	0	151	ɡ ʊ d
241	Danish	good	34	goˀ	g oˀ	56	1 7	AX	KU	1	1.K.C 1.U.V	2.0 1.5	0	150	g oˀ
242	Swedish	good	34	guːd	g uː d	56	1 7 1	AXN	KYT	7	7.K.C 7.Y.V 7.T.c	2.0 1.5 0.8	0	151	g uː d
243	Icelandic	good	34	kouːðʏr	k ouː ð ʏ r	56	1 7 3 7 5	AXBYN	KUDYR	5	5.K.C 5.U.V 5.D.C 5.Y.V 5.R.c	2.0 1.5 1.75 1.3 0.8	0	154	k ouː ð ʏ r
244	Dutch	good	34	xuːt	x uː t	56	3 7 1	AXN	GYT	2	2.G.C 2.Y.V 2.T.c	2.0 1.5 0.8	0	151	x uː t
245	Norwegian	good	34	guː	g uː	56	1 7	AX	KY	6	6.K.C 6.Y.V	2.0 1.5	0	150	g uː
#
246	German	green	35	ɡryːn	ɡ r yː n	57	1 5 7 4	ACXN	KRYN	4	4.K.C 4.R.C 4.Y.V 4.N.c	2.0 1.5 1.5 0.8	0	155	ɡ r yː n
247	English	green	35	ɡriːn	ɡ r iː n	57	1 5 7 4	ACXN	KRIN	3	3.K.C 3.R.C 3.I.V 3.N.c	2.0 1.5 1.5 0.8	0	155	ɡ r iː n
248	Danish	green	35	gʁɶnˀ	g ʁ ɶ nˀ	57	1 5 7 4	ACXN	KRUN	1	1.K.C 1.R.C 1.U.V 1.N.c	2.0 1.5 1.5 0.8	0	155	g ʁ ɶ nˀ
249	Swedish	green	35	grøːn	g r øː n	57	1 5 7 4	ACXN	KRUN	7	7.K.C 7.R.C 7.U.V 7.N.c	2.0 1.5 1.5 0.8	0	155	g r øː n
250	Icelandic	green	35	krait͡n	k r ai t͡n	57	1 5 7 1	ACXN	KRAT	5	5.K.C 5.R.C 5.A.V 5.T.c	2.0 1.5 1.5 0.8	0	159	k r ai t͡n
251	Dutch	green	35	xruːn	x r uː n	57	3 5 7 4	ACXN	GRYN	2	2.G.C 2.R.C 2.Y.V 2.N.c	2.0 1.5 1.5 0.8	0	155	x r uː n
252	Norwegian	green	35	gɾœn	g ɾ œ n	57	1 5 7 4	ACXN	KRUN	6	6.K.C 6.R.C 6.U.V 6.N.c	2.0 1.5 1.5 0.8	0	155	g ɾ œ n
#
253	German	hair	36	haːr	h aː r	58	3 7 5	AXN	HAR	4	4.H.C 4.A.V 4.R.c	2.0 1.5 0.8	0	160	h aː r
254	English	hair	36	hɛər	h ɛə r	58	3 7 5	AXN	HER	3	3.H.C 3.E.V 3.R.c	2.0 1.5 0.8	0	160	h ɛə r
255	Danish	hair	36	hɒˀ	h ɒˀ	58	3 7	AX	HO	1	1.H.C 1.O.V	2.0 1.5	0	160	h ɒˀ -
256	Swedish	hair	36	hoːr	h oː r	58	3 7 5	AXN	HUR	7	7.H.C 7.U.V 7.R.c	2.0 1.5 0.8	0	160	h oː r
257	Icelandic	hair	36	hauːr	h auː r	58	3 7 5	AXN	HAR	5	5.H.C 5.A.V 5.R.c	2.0 1.5 0.8	0	160	h auː r
258	Dutch	hair	36	haːr	h aː r	58	3 7 5	AXN	HAR	2	2.H.C 2.A.V 2.R.c	2.0 1.5 0.8	0	160	h aː r
259	Norwegian	hair	36	hoːɾ	h oː ɾ	58	3 7 5	AXN	HUR	6	6.H.C 6.U.V 6.R.c	2.0 1.5 0.8	0	160	h oː ɾ
#
260	German	hand	37	hant	h a n t	59	3 7 4 1	AXLN	HANT	4	4.H.C 4.A.V 4.N.c 4.T.c	2.0 1.5 1.1 0.8	0	161	h a n t
261	English	hand	37	hænd	h æ n d	59	3 7 4 1	AXLN	HENT	3	3.H.C 3.E.V 3.N.c 3.T.c	2.0 1.5 1.1 0.8	0	161	h æ n d
262	Danish	hand	37	hʌnˀ	h ʌ nˀ	59	3 7 4	AXN	HEN	1	1.H.C 1.E.V 1.N.c	2.0 1.5 0.8	0	161	h ʌ nˀ -
263	Swedish	hand	37	hanːd	h a nː d	59	3 7 4 1	AXLN	HANT	7	7.H.C 7.A.V 7.N.c 7.T.c	2.0 1.5 1.1 0.8	0	161	h a nː d
264	Icelandic	hand	37	hœnt	h œ n t	59	3 7 4 1	AXLN	HUNT	5	5.H.C 5.U.V 5.N.c 5.T.c	2.0 1.5 1.1 0.8	0	161	h œ n t
265	Dutch	hand	37	hɑnt	h ɑ n t	59	3 7 4 1	AXLN	HANT	2	2.H.C 2.A.V 2.N.c 2.T.c	2.0 1.5 1.1 0.8	0	161	h ɑ n t
266	Norwegian	hand	37	hɔn	h ɔ n	-59	3 7 4	AXN	HUN	6	6.H.C 6.U.V 6.N.c	2.0 1.5 0.8	0	161	h ɔ n -
#
267	German	head	38	kɔp͡f	k ɔ p͡f	-60	1 7 2	AXN	KUB	4	4.K.C 4.U.V 4.B.c	2.0 1.5 0.8	0	165	k ɔ p͡f
268	English	head	38	hɛd	h ɛ d	61	3 7 1	AXN	HET	3	3.H.C 3.E.V 3.T.c	2.0 1.5 0.8	0	162	h ɛ d -
269	Danish	head	38	hoːəð	h oːə ð	61	3 7 3	AXN	HUD	1	1.H.C 1.U.V 1.D.c	2.0 1.5 0.8	0	162	h oːə ð -
270	Swedish	head	38	huːvud	h uː v u d	61	3 7 3 7 1	AXBYN	HYBYT	7	7.H.C 7.Y.V 7.B.C 7.Y.V 7.T.c	2.0 1.5 1.75 1.3 0.8	0	163	h uː v u d
271	Icelandic	head	38	hœvʏð	h œ v ʏ ð	61	3 7 3 7 3	AXBYN	HUBYD	5	5.H.C 5.U.V 5.B.C 5.Y.V 5.D.c	2.0 1.5 1.75 1.3 0.8	0	163	h œ v ʏ ð
272	Dutch	head	38	hoːft	h oː f t	61	3 7 3 1	AXLN	HUBT	2	2.H.C 2.U.V 2.B.c 2.T.c	2.0 1.5 1.1 0.8	0	163	h oː f - t
273	Norwegian	head	38	huːdə	h uː d ə	61	3 7 1 7	AXBZ	HYTE	6	6.H.C 6.Y.V 6.T.C 6.E.V	2.0 1.5 1.75 0.8	0	162	h uː d ə
#
