# OUG
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
422	Kazym Khanty	eat (V)	23	ɬɛː	ɬ ɛː	52
423	Synja Khanty	eat (V)	23	leː	l eː	52
424	Obdorsk Khanty	eat (V)	23	liː	l iː	52
# 
425	North Mansi	egg	24	muŋi	m u ŋ i	54
426	Middle Lozva Mansi	egg	24	ɲæmrəχ	ɲ æ m r ə χ	-53
427	Lower Lozva Mansi	egg	24	ɲamrəχ	ɲ a m r ə χ	-53
428	Pelymka Mansi	egg	24	ɲɔmərtkə	ɲ ɔ m ə r t k ə	-53
429	Konda Mansi	egg	24	moŋ	m o ŋ	54
430	Tavda Mansi	egg	24	ɲamərtk	ɲ a m ə r t k	-53
431	Vakh Khanty	egg	24	mɔːk	m ɔː k	55
432	Verkhne-Kalymsk Khanty	egg	24	moːk	m oː k	55
433	Vartovskoje Khanty	egg	24	moːk	m oː k	55
434	Likrisovskoje Khanty	egg	24	maːkʷ	m aː kʷ	55
435	Malyj Jugan Khanty	egg	24	moːk	m oː k	55
436	Tremjugan Khanty	egg	24	moːk	m oː k	55
437	Jugan Khanty	egg	24	moːk	m oː k	55
438	Upper Demjanka Khanty	egg	24	kæːrəmoːχ	k æː r ə m oː χ	55
439	Konda Khanty	egg	24	kærəmoːχ	k æ r ə m oː χ	55
440	Nizjam Khanty	egg	24	poʃəχ	p o ʃ ə χ	56
441	Sherkaly Khanty	egg	24	poʃəχ	p o ʃ ə χ	56
442	Kazym Khanty	egg	24	poʃəχ	p o ʃ ə χ	56
443	Obdorsk Khanty	egg	24	pasəχ	p a s ə χ	56
# 
444	North Mansi	eye	25	sam	s a m	57
445	Middle Lozva Mansi	eye	25	ʃæm	ʃ æ m	57
446	Lower Lozva Mansi	eye	25	ʃæm	ʃ æ m	57
447	Pelymka Mansi	eye	25	ʃæm	ʃ æ m	57
448	Konda Mansi	eye	25	sæm	s æ m	57
449	Tavda Mansi	eye	25	ʃəm	ʃ ə m	57
450	Vakh Khanty	eye	25	seːm	s eː m	57
451	Verkhne-Kalymsk Khanty	eye	25	seːm	s eː m	57
452	Vasjugan Khanty	eye	25	seːm	s eː m	57
453	Vartovskoje Khanty	eye	25	sæm	s æ m	57
454	Tremjugan Khanty	eye	25	sæm	s æ m	57
455	Jugan Khanty	eye	25	sæm	s æ m	57
456	Upper Demjanka Khanty	eye	25	seːm	s eː m	57
457	Konda Khanty	eye	25	seːm	s eː m	57
458	Nizjam Khanty	eye	25	seːm	s eː m	57
459	Sherkaly Khanty	eye	25	seːm	s eː m	57
460	Kazym Khanty	eye	25	sɛːm	s ɛː m	57
461	Synja Khanty	eye	25	seːm	s eː m	57
462	Obdorsk Khanty	eye	25	seːm	s eː m	57
# 
463	North Mansi	fat	26	woːj	w oː j	58
464	Middle Lozva Mansi	fat	26	wuoj	w uo j	58
465	Pelymka Mansi	fat	26	wuoj	w uo j	58
466	Konda Mansi	fat	26	wuoj	w uo j	58
467	Tavda Mansi	fat	26	wɔːj	w ɔː j	58
468	Vakh Khanty	fat	26	woːj	w oː j	58
469	Verkhne-Kalymsk Khanty	fat	26	woːj	w oː j	58
470	Vasjugan Khanty	fat	26	woːj	w oː j	58
471	Vartovskoje Khanty	fat	26	woːj	w oː j	58
472	Likrisovskoje Khanty	fat	26	woːj	w oː j	58
473	Malyj Jugan Khanty	fat	26	woj	w o j	58
474	Tremjugan Khanty	fat	26	woj	w o j	58
475	Jugan Khanty	fat	26	woj	w o j	58
476	Upper Demjanka Khanty	fat	26	uːj	uː j	58
477	Konda Khanty	fat	26	yːj	yː j	58
478	Nizjam Khanty	fat	26	saχsə	s a χ s ə	59
479	Sherkaly Khanty	fat	26	saχsə	s a χ s ə	59
480	Kazym Khanty	fat	26	woj	w o j	58
481	Synja Khanty	fat	26	woj	w o j	58
482	Obdorsk Khanty	fat	26	waj	w a j	58
# 
483	North Mansi	feather	27	pun	p u n	60
484	Middle Lozva Mansi	feather	27	pun	p u n	60
485	Lower Lozva Mansi	feather	27	pun	p u n	60
486	Pelymka Mansi	feather	27	pun	p u n	60
487	Konda Mansi	feather	27	pon	p o n	60
488	Tavda Mansi	feather	27	pon	p o n	60
489	Vakh Khanty	feather	27	puːn	p uː n	60
490	Verkhne-Kalymsk Khanty	feather	27	puːn	p uː n	60
491	Vasjugan Khanty	feather	27	puːn	p uː n	60
492	Likrisovskoje Khanty	feather	27	puːn	p uː n	60
493	Malyj Jugan Khanty	feather	27	puːn	p uː n	60
494	Tremjugan Khanty	feather	27	puːn	p uː n	60
495	Upper Demjanka Khanty	feather	27	pyːn	p yː n	60
496	Konda Khanty	feather	27	pyːn	p yː n	60
497	Nizjam Khanty	feather	27	pun	p u n	60
498	Sherkaly Khanty	feather	27	pun	p u n	60
499	Kazym Khanty	feather	27	pun	p u n	60
500	Synja Khanty	feather	27	pun	p u n	60
501	Obdorsk Khanty	feather	27	puːn	p uː n	60
# 
502	North Mansi	fire	28	uʎæ	u ʎ æ	61
503	Middle Lozva Mansi	fire	28	toɔt	t oɔ t	62
504	Lower Lozva Mansi	fire	28	tɔːt	t ɔː t	62
505	Pelymka Mansi	fire	28	oɔrəsʲ	oɔ r ə sʲ	63
506	Konda Mansi	fire	28	tɔut	t ɔu t	62
507	Tavda Mansi	fire	28	tæut	t æu t	62
508	Vakh Khanty	fire	28	tœɣət	t œ ɣ ə t	62
509	Verkhne-Kalymsk Khanty	fire	28	tœɣət	t œ ɣ ə t	62
510	Vasjugan Khanty	fire	28	tœɣət	t œ ɣ ə t	62
511	Vartovskoje Khanty	fire	28	tœɣət	t œ ɣ ə t	62
512	Likrisovskoje Khanty	fire	28	teɣʷət	t e ɣʷ ə t	62
513	Malyj Jugan Khanty	fire	28	teɣʷət	t e ɣʷ ə t	62
514	Tremjugan Khanty	fire	28	teɣʷət	t e ɣʷ ə t	62
515	Jugan Khanty	fire	28	tewət	t e w ə t	62
516	Upper Demjanka Khanty	fire	28	tyːt	t yː t	62
517	Konda Khanty	fire	28	tyːt	t yː t	62
518	Nizjam Khanty	fire	28	tut	t u t	62
519	Sherkaly Khanty	fire	28	tut	t u t	62
520	Kazym Khanty	fire	28	tut	t u t	62
521	Synja Khanty	fire	28	tut	t u t	62
522	Obdorsk Khanty	fire	28	tuːt	t uː t	62
# 
523	North Mansi	fish	29	χul	χ u l	64
524	Middle Lozva Mansi	fish	29	qul	q u l	64
525	Lower Lozva Mansi	fish	29	qul	q u l	64
526	Pelymka Mansi	fish	29	qul	q u l	64
527	Konda Mansi	fish	29	qul	q u l	64
528	Tavda Mansi	fish	29	qol	q o l	64
529	Vakh Khanty	fish	29	kuːl	k uː l	64
530	Verkhne-Kalymsk Khanty	fish	29	kuːl	k uː l	64
531	Vasjugan Khanty	fish	29	kuːl	k uː l	64
532	Vartovskoje Khanty	fish	29	kuːɬ	k uː ɬ	64
533	Likrisovskoje Khanty	fish	29	kuːθ	k uː θ	64
534	Malyj Jugan Khanty	fish	29	kuːɬ	k uː ɬ	64
535	Tremjugan Khanty	fish	29	kuːɬ	k uː ɬ	64
536	Jugan Khanty	fish	29	kuːɬ	k uː ɬ	64
537	Upper Demjanka Khanty	fish	29	χuːtj	χ uː t j	64
538	Konda Khanty	fish	29	χuːtj	χ uː t j	64
539	Nizjam Khanty	fish	29	χut	χ u t	64
540	Sherkaly Khanty	fish	29	χut	χ u t	64
541	Kazym Khanty	fish	29	χuɬ	χ u ɬ	64
542	Synja Khanty	fish	29	χul	χ u l	64
543	Obdorsk Khanty	fish	29	χuːl	χ uː l	64
# 
544	North Mansi	fly (V)	30	tɨːli	t ɨː l i	65
545	Middle Lozva Mansi	fly (V)	30	tɨːli	t ɨː l i	65
546	Lower Lozva Mansi	fly (V)	30	tiːli	t iː l i	65
547	Pelymka Mansi	fly (V)	30	təɨli	t əɨ l i	65
548	Konda Mansi	fly (V)	30	təɨli	t əɨ l i	65
549	Tavda Mansi	fly (V)	30	tæulænt	t æu l æ n t	65
550	Vakh Khanty	fly (V)	30	leɣəl	l e ɣ ə l	65
551	Tremjugan Khanty	fly (V)	30	ɬeɣəɬ	ɬ e ɣ ə ɬ	65
552	Jugan Khanty	fly (V)	30	ɬeɣəɬ	ɬ e ɣ ə ɬ	65
553	Upper Demjanka Khanty	fly (V)	30	teɣət	t e ɣ ə t	65
554	Konda Khanty	fly (V)	30	teɣət	t e ɣ ə t	65
555	Sherkaly Khanty	fly (V)	30	jaŋχ	j a ŋ χ	66
556	Kazym Khanty	fly (V)	30	jaŋ	j a ŋ	66
557	Synja Khanty	fly (V)	30	jaŋχ	j a ŋ χ	66
# 
558	North Mansi	foot	31	laɣɨl	l a ɣ ɨ l	68
559	Middle Lozva Mansi	foot	31	ləl	l ə l	68
560	Lower Lozva Mansi	foot	31	ləl	l ə l	68
561	Pelymka Mansi	foot	31	ləl	l ə l	68
562	Konda Mansi	foot	31	ləl	l ə l	68
563	Tavda Mansi	foot	31	laəl	l aə l	68
564	Vakh Khanty	foot	31	kœr	k œ r	67
565	Verkhne-Kalymsk Khanty	foot	31	kœr	k œ r	67
566	Vasjugan Khanty	foot	31	kœr	k œ r	67
567	Tremjugan Khanty	foot	31	kœr	k œ r	67
568	Jugan Khanty	foot	31	kœr	k œ r	67
569	Upper Demjanka Khanty	foot	31	kor	k o r	67
570	Konda Khanty	foot	31	kor	k o r	67
571	Nizjam Khanty	foot	31	kur	k u r	67
572	Sherkaly Khanty	foot	31	kur	k u r	67
573	Kazym Khanty	foot	31	kur	k u r	67
574	Synja Khanty	foot	31	kur	k u r	67
575	Obdorsk Khanty	foot	31	kuːr	k uː r	67
# 
576	North Mansi	full	32	taɣɨl	t a ɣ ɨ l	69
577	Middle Lozva Mansi	full	32	taɨl	t aɨ l	69
578	Lower Lozva Mansi	full	32	taɨl	t aɨ l	69
579	Pelymka Mansi	full	32	tæɣɨl	t æ ɣ ɨ l	69
580	Konda Mansi	full	32	taɣɨl	t a ɣ ɨ l	69
581	Tavda Mansi	full	32	tæul	t æu l	69
582	Vakh Khanty	full	32	teːlɣæːl	t eː l ɣ æː l	69
583	Verkhne-Kalymsk Khanty	full	32	teːl	t eː l	69
584	Vasjugan Khanty	full	32	teːl	t eː l	69
585	Likrisovskoje Khanty	full	32	tæθ	t æ θ	69
586	Malyj Jugan Khanty	full	32	tæɬ	t æ ɬ	69
587	Tremjugan Khanty	full	32	tæɬ	t æ ɬ	69
588	Jugan Khanty	full	32	tæɬəɬ	t æ ɬ ə ɬ	69
589	Upper Demjanka Khanty	full	32	teːt	t eː t	69
590	Konda Khanty	full	32	teːt	t eː t	69
591	Nizjam Khanty	full	32	teːt	t eː t	69
592	Sherkaly Khanty	full	32	teːt	t eː t	69
593	Kazym Khanty	full	32	tɛːɬ	t ɛː ɬ	69
594	Synja Khanty	full	32	teːl	t eː l	69
595	Obdorsk Khanty	full	32	teːl	t eː l	69
# 
596	North Mansi	give (V)	33	mɨːɣ	m ɨː ɣ	70
597	Middle Lozva Mansi	give (V)	33	mij	m i j	70
598	Lower Lozva Mansi	give (V)	33	miː	m iː	70
599	Pelymka Mansi	give (V)	33	mæji	m æ j i	70
600	Konda Mansi	give (V)	33	məɨɣ	m əɨ ɣ	70
601	Tavda Mansi	give (V)	33	mæjænt	m æ j æ n t	70
602	Vakh Khanty	give (V)	33	me	m e	70
603	Vasjugan Khanty	give (V)	33	me	m e	70
604	Tremjugan Khanty	give (V)	33	me	m e	70
605	Jugan Khanty	give (V)	33	me	m e	70
606	Upper Demjanka Khanty	give (V)	33	me	m e	70
607	Konda Khanty	give (V)	33	me	m e	70
608	Nizjam Khanty	give (V)	33	ma	m a	70
609	Sherkaly Khanty	give (V)	33	ma	m a	70
610	Kazym Khanty	give (V)	33	ma	m a	70
611	Synja Khanty	give (V)	33	ma	m a	70
612	Obdorsk Khanty	give (V)	33	mæ	m æ	70
# 
613	North Mansi	good	34	jɔməs	j ɔ m ə s	71
614	Middle Lozva Mansi	good	34	jæməs	j æ m ə s	71
615	Lower Lozva Mansi	good	34	jæməs	j æ m ə s	71
616	Pelymka Mansi	good	34	jɔməs	j ɔ m ə s	71
617	Konda Mansi	good	34	jɔməs	j ɔ m ə s	71
618	Tavda Mansi	good	34	jumɔs	j u m ɔ s	71
619	Vakh Khanty	good	34	jem	j e m	71
620	Verkhne-Kalymsk Khanty	good	34	jem	j e m	71
621	Vasjugan Khanty	good	34	jem	j e m	71
622	Vartovskoje Khanty	good	34	jem	j e m	71
623	Likrisovskoje Khanty	good	34	jem	j e m	71
624	Malyj Jugan Khanty	good	34	jem	j e m	71
625	Tremjugan Khanty	good	34	jem	j e m	71
626	Jugan Khanty	good	34	jem	j e m	71
627	Upper Demjanka Khanty	good	34	jem	j e m	71
628	Konda Khanty	good	34	jem	j e m	71
629	Nizjam Khanty	good	34	jam	j a m	71
630	Sherkaly Khanty	good	34	jam	j a m	71
631	Kazym Khanty	good	34	jam	j a m	71
632	Synja Khanty	good	34	jam	j a m	71
633	Obdorsk Khanty	good	34	jiːm	j iː m	71
# 
634	North Mansi	green	35	ɲaːrpum	ɲ aː r p u m	72
635	Middle Lozva Mansi	green	35	ɲoɔrpum	ɲ oɔ r p u m	72
636	Pelymka Mansi	green	35	ɲɔːrpum	ɲ ɔː r p u m	72
637	Konda Mansi	green	35	ɲoɔrpom	ɲ oɔ r p o m	72
638	Tavda Mansi	green	35	ɲærqɔr	ɲ æ r q ɔ r	72
639	Tremjugan Khanty	green	35	wastə	w a s t ə	73
640	Jugan Khanty	green	35	wastə	w a s t ə	73
641	Upper Demjanka Khanty	green	35	wastə	w a s t ə	73
642	Konda Khanty	green	35	wastə	w a s t ə	73
643	Nizjam Khanty	green	35	wostə	w o s t ə	73
644	Sherkaly Khanty	green	35	wostə	w o s t ə	73
645	Kazym Khanty	green	35	wostiː	w o s t iː	73
646	Synja Khanty	green	35	wostiː	w o s t iː	73
647	Obdorsk Khanty	green	35	wastiː	w a s t iː	73
# 
648	North Mansi	hair	36	aːt	aː t	74
649	Middle Lozva Mansi	hair	36	əːt	əː t	74
650	Lower Lozva Mansi	hair	36	əːt	əː t	74
651	Pelymka Mansi	hair	36	əːt	əː t	74
652	Konda Mansi	hair	36	əːt	əː t	74
653	Tavda Mansi	hair	36	æːt	æː t	74
654	Vakh Khanty	hair	36	aːwət	aː w ə t	74
655	Verkhne-Kalymsk Khanty	hair	36	aːwət	aː w ə t	74
656	Vasjugan Khanty	hair	36	aːwət	aː w ə t	74
657	Vartovskoje Khanty	hair	36	aːwət	aː w ə t	74
658	Likrisovskoje Khanty	hair	36	oːpət	oː p ə t	74
659	Malyj Jugan Khanty	hair	36	oːpət	oː p ə t	74
660	Tremjugan Khanty	hair	36	oːpət	oː p ə t	74
661	Jugan Khanty	hair	36	oːpət	oː p ə t	74
662	Upper Demjanka Khanty	hair	36	uːpət	uː p ə t	74
663	Konda Khanty	hair	36	uːpət	uː p ə t	74
664	Nizjam Khanty	hair	36	uːpət	uː p ə t	74
665	Sherkaly Khanty	hair	36	uːpət	uː p ə t	74
666	Kazym Khanty	hair	36	ɵːpət	ɵː p ə t	74
667	Synja Khanty	hair	36	uːpət	uː p ə t	74
668	Obdorsk Khanty	hair	36	oːpət	oː p ə t	74
# 
669	North Mansi	hand	37	kaːt	k aː t	75
670	Middle Lozva Mansi	hand	37	koɔt	k oɔ t	75
671	Lower Lozva Mansi	hand	37	kɔːt	k ɔː t	75
672	Pelymka Mansi	hand	37	koɔt	k oɔ t	75
673	Konda Mansi	hand	37	koæt	k oæ t	75
674	Tavda Mansi	hand	37	kæːt	k æː t	75
675	Vakh Khanty	hand	37	kœːt	k œː t	75
676	Verkhne-Kalymsk Khanty	hand	37	kœːt	k œː t	75
677	Vasjugan Khanty	hand	37	kœːt	k œː t	75
678	Vartovskoje Khanty	hand	37	kœt	k œ t	75
679	Likrisovskoje Khanty	hand	37	kœt	k œ t	75
680	Malyj Jugan Khanty	hand	37	kœt	k œ t	75
681	Tremjugan Khanty	hand	37	kœt	k œ t	75
682	Jugan Khanty	hand	37	kœt	k œ t	75
683	Upper Demjanka Khanty	hand	37	keːt	k eː t	75
684	Konda Khanty	hand	37	keːt	k eː t	75
685	Nizjam Khanty	hand	37	jɔːʃ	j ɔː ʃ	76
686	Sherkaly Khanty	hand	37	jɔːʃ	j ɔː ʃ	76
687	Kazym Khanty	hand	37	jɔːʃ	j ɔː ʃ	76
688	Synja Khanty	hand	37	jɔːʃ	j ɔː ʃ	76
689	Obdorsk Khanty	hand	37	jaːs	j aː s	76
# 
690	North Mansi	head	38	puŋk	p u ŋ k	77
691	Middle Lozva Mansi	head	38	pəŋk	p ə ŋ k	77
692	Lower Lozva Mansi	head	38	pəŋk	p ə ŋ k	77
693	Pelymka Mansi	head	38	pəŋk	p ə ŋ k	77
694	Konda Mansi	head	38	pæŋk	p æ ŋ k	77
695	Tavda Mansi	head	38	pəŋ	p ə ŋ	77
696	Vakh Khanty	head	38	ɔːɣ	ɔː ɣ	78
697	Verkhne-Kalymsk Khanty	head	38	oːɣ	oː ɣ	78
698	Vasjugan Khanty	head	38	ɔːɣ	ɔː ɣ	78
699	Vartovskoje Khanty	head	38	oːɣ	oː ɣ	78
700	Malyj Jugan Khanty	head	38	oːɣʷ	oː ɣʷ	78
701	Tremjugan Khanty	head	38	oːɣʷ	oː ɣʷ	78
702	Jugan Khanty	head	38	oːw	oː w	78
703	Upper Demjanka Khanty	head	38	uːχ	uː χ	78
704	Konda Khanty	head	38	uːχ	uː χ	78
705	Nizjam Khanty	head	38	uːχ	uː χ	78
706	Sherkaly Khanty	head	38	uːχ	uː χ	78
707	Kazym Khanty	head	38	oχ	o χ	78
708	Synja Khanty	head	38	oχ	o χ	78
709	Obdorsk Khanty	head	38	oχ	o χ	78
# 
710	North Mansi	hear	39	χɔːli	χ ɔː l i	79
711	Middle Lozva Mansi	hear	39	qʷoli	qʷ o l i	79
712	Lower Lozva Mansi	hear	39	qoːli	q oː l i	79
713	Pelymka Mansi	hear	39	qoːli	q oː l i	79
714	Konda Mansi	hear	39	qoːli	q oː l i	79
715	Tavda Mansi	hear	39	qɔlɔnt	q ɔ l ɔ n t	79
716	Vakh Khanty	hear	39	kɔːl	k ɔː l	79
717	Verkhne-Kalymsk Khanty	hear	39	koːl	k oː l	79
718	Vasjugan Khanty	hear	39	kɔːl	k ɔː l	79
719	Vartovskoje Khanty	hear	39	koːɬ	k oː ɬ	79
720	Likrisovskoje Khanty	hear	39	koːθ	k oː θ	79
721	Malyj Jugan Khanty	hear	39	koːɬ	k oː ɬ	79
722	Tremjugan Khanty	hear	39	koːɬ	k oː ɬ	79
723	Jugan Khanty	hear	39	koːɬ	k oː ɬ	79
724	Upper Demjanka Khanty	hear	39	χuːt	χ uː t	79
725	Konda Khanty	hear	39	χuːt	χ uː t	79
726	Nizjam Khanty	hear	39	χuːt	χ uː t	79
727	Sherkaly Khanty	hear	39	χuːt	χ uː t	79
728	Kazym Khanty	hear	39	χɵːɬ	χ ɵː ɬ	79
729	Synja Khanty	hear	39	χuːl	χ uː l	79
730	Obdorsk Khanty	hear	39	χoːl	χ oː l	79
# 
731	North Mansi	heart	40	sim	s i m	80
732	Middle Lozva Mansi	heart	40	ʃim	ʃ i m	80
733	Lower Lozva Mansi	heart	40	ʃim	ʃ i m	80
734	Pelymka Mansi	heart	40	ʃim	ʃ i m	80
735	Konda Mansi	heart	40	səm	s ə m	80
736	Tavda Mansi	heart	40	ʃɔm	ʃ ɔ m	80
737	Vakh Khanty	heart	40	sem	s e m	80
738	Verkhne-Kalymsk Khanty	heart	40	sem	s e m	80
739	Vasjugan Khanty	heart	40	sem	s e m	80
740	Vartovskoje Khanty	heart	40	sem	s e m	80
741	Likrisovskoje Khanty	heart	40	sem	s e m	80
742	Malyj Jugan Khanty	heart	40	sem	s e m	80
743	Tremjugan Khanty	heart	40	sem	s e m	80
744	Jugan Khanty	heart	40	sem	s e m	80
745	Upper Demjanka Khanty	heart	40	sem	s e m	80
746	Konda Khanty	heart	40	sem	s e m	80
747	Nizjam Khanty	heart	40	sam	s a m	80
748	Sherkaly Khanty	heart	40	sam	s a m	80
749	Kazym Khanty	heart	40	sam	s a m	80
750	Synja Khanty	heart	40	sam	s a m	80
751	Obdorsk Khanty	heart	40	sæm	s æ m	80
# 
752	North Mansi	horn	41	aːɲt	aː ɲ t	81
753	Middle Lozva Mansi	horn	41	ɔɲt	ɔ ɲ t	81
754	Lower Lozva Mansi	horn	41	aɲt	a ɲ t	81
755	Pelymka Mansi	horn	41	ɔɲt	ɔ ɲ t	81
756	Konda Mansi	horn	41	əːɲtʲ	əː ɲ tʲ	81
757	Tavda Mansi	horn	41	æːnt	æː n t	81
758	Vakh Khanty	horn	41	aŋət	a ŋ ə t	81
759	Verkhne-Kalymsk Khanty	horn	41	aŋət	a ŋ ə t	81
760	Vasjugan Khanty	horn	41	aŋət	a ŋ ə t	81
761	Vartovskoje Khanty	horn	41	aŋət	a ŋ ə t	81
762	Likrisovskoje Khanty	horn	41	aŋət	a ŋ ə t	81
763	Malyj Jugan Khanty	horn	41	ɔːŋət	ɔː ŋ ə t	81
764	Tremjugan Khanty	horn	41	ɔːŋət	ɔː ŋ ə t	81
765	Jugan Khanty	horn	41	ɔːŋət	ɔː ŋ ə t	81
766	Upper Demjanka Khanty	horn	41	oːŋət	oː ŋ ə t	81
767	Konda Khanty	horn	41	oːŋət	oː ŋ ə t	81
768	Nizjam Khanty	horn	41	ɔːŋət	ɔː ŋ ə t	81
769	Sherkaly Khanty	horn	41	ɔːŋət	ɔː ŋ ə t	81
770	Kazym Khanty	horn	41	ɔːŋət	ɔː ŋ ə t	81
771	Synja Khanty	horn	41	ɔːŋət	ɔː ŋ ə t	81
772	Obdorsk Khanty	horn	41	aːŋət	aː ŋ ə t	81
# 
773	North Mansi	I	42	am	a m	82
774	Middle Lozva Mansi	I	42	æm	æ m	82
775	Lower Lozva Mansi	I	42	am	a m	82
776	Pelymka Mansi	I	42	ɔm	ɔ m	82
777	Konda Mansi	I	42	ɔm	ɔ m	82
778	Tavda Mansi	I	42	æm	æ m	82
779	Vakh Khanty	I	42	mæː	m æː	82
780	Vasjugan Khanty	I	42	mæː	m æː	82
781	Tremjugan Khanty	I	42	mæː	m æː	82
782	Jugan Khanty	I	42	mæː	m æː	82
783	Upper Demjanka Khanty	I	42	mæːn	m æː n	82
784	Konda Khanty	I	42	mæn	m æ n	82
785	Nizjam Khanty	I	42	maː	m aː	82
786	Sherkaly Khanty	I	42	maː	m aː	82
787	Kazym Khanty	I	42	maː	m aː	82
788	Synja Khanty	I	42	maː	m aː	82
789	Obdorsk Khanty	I	42	mæː	m æː	82
# 
790	North Mansi	kill (V)	43	ali	a l i	83
791	Middle Lozva Mansi	kill (V)	43	æli	æ l i	83
792	Lower Lozva Mansi	kill (V)	43	æli	æ l i	83
793	Pelymka Mansi	kill (V)	43	æli	æ l i	83
794	Konda Mansi	kill (V)	43	æli	æ l i	83
795	Tavda Mansi	kill (V)	43	ælænt	æ l æ n t	83
796	Vakh Khanty	kill (V)	43	weːl	w eː l	83
797	Vasjugan Khanty	kill (V)	43	weːl	w eː l	83
798	Likrisovskoje Khanty	kill (V)	43	wæθ	w æ θ	83
799	Malyj Jugan Khanty	kill (V)	43	wæɬ	w æ ɬ	83
800	Tremjugan Khanty	kill (V)	43	wæɬ	w æ ɬ	83
801	Jugan Khanty	kill (V)	43	wæɬ	w æ ɬ	83
802	Upper Demjanka Khanty	kill (V)	43	weːt	w eː t	83
803	Konda Khanty	kill (V)	43	weːt	w eː t	83
804	Nizjam Khanty	kill (V)	43	weːt	w eː t	83
805	Sherkaly Khanty	kill (V)	43	weːt	w eː t	83
806	Kazym Khanty	kill (V)	43	weːɬ	w eː ɬ	83
807	Synja Khanty	kill (V)	43	weːl	w eː l	83
808	Obdorsk Khanty	kill (V)	43	weːl	w eː l	83
# 
809	North Mansi	knee	44	saːns	s aː n s	84
810	Middle Lozva Mansi	knee	44	ʃanʃ	ʃ a n ʃ	84
811	Lower Lozva Mansi	knee	44	ʃaːnʃ	ʃ aː n ʃ	84
812	Pelymka Mansi	knee	44	ʃanʃ	ʃ a n ʃ	84
813	Konda Mansi	knee	44	sɔnəs	s ɔ n ə s	84
814	Tavda Mansi	knee	44	ʃɔnʃ	ʃ ɔ n ʃ	84
815	Vakh Khanty	knee	44	ʧæːɳʧ	ʧ æː ɳ ʧ	84
816	Verkhne-Kalymsk Khanty	knee	44	ʧæːɳʧ	ʧ æː ɳ ʧ	84
817	Vasjugan Khanty	knee	44	ʧæːɳʧ	ʧ æː ɳ ʧ	84
818	Vartovskoje Khanty	knee	44	ʧæːɳʧ	ʧ æː ɳ ʧ	84
819	Likrisovskoje Khanty	knee	44	ʧæːɳʧ	ʧ æː ɳ ʧ	84
820	Malyj Jugan Khanty	knee	44	ʧæːnʧ	ʧ æː n ʧ	84
821	Tremjugan Khanty	knee	44	ʧæːɳʧ	ʧ æː ɳ ʧ	84
822	Jugan Khanty	knee	44	ʧæːnʧ	ʧ æː n ʧ	84
823	Upper Demjanka Khanty	knee	44	ʧæːnʧ	ʧ æː n ʧ	84
824	Konda Khanty	knee	44	ʧæːnʧ	ʧ æː n ʧ	84
825	Nizjam Khanty	knee	44	ʃaːʃ	ʃ aː ʃ	84
826	Sherkaly Khanty	knee	44	ʃaːʃ	ʃ aː ʃ	84
827	Kazym Khanty	knee	44	ʃaːʃ	ʃ aː ʃ	84
828	Synja Khanty	knee	44	ʃaːʃ	ʃ aː ʃ	84
829	Obdorsk Khanty	knee	44	sæːs	s æː s	84
# 
830	North Mansi	know (V)	45	waːɣ	w aː ɣ	85
831	Middle Lozva Mansi	know (V)	45	qaɲsʲi	q a ɲ sʲ i	86
832	Lower Lozva Mansi	know (V)	45	qanʃi	q a n ʃ i	86
833	Pelymka Mansi	know (V)	45	qaɲʃi	q a ɲ ʃ i	86
834	Konda Mansi	know (V)	45	qaɲsʲi	q a ɲ sʲ i	86
835	Tavda Mansi	know (V)	45	qaɲʃant	q a ɲ ʃ a n t	86
836	Vakh Khanty	know (V)	45	toŋəmt	t o ŋ ə m t	87
837	Verkhne-Kalymsk Khanty	know (V)	45	toŋəmt	t o ŋ ə m t	87
838	Vasjugan Khanty	know (V)	45	toŋəmt	t o ŋ ə m t	87
839	Vartovskoje Khanty	know (V)	45	toŋəmt	t o ŋ ə m t	87
840	Likrisovskoje Khanty	know (V)	45	toŋəmtə	t o ŋ ə m t ə	87
841	Malyj Jugan Khanty	know (V)	45	toŋəmtə	t o ŋ ə m t ə	87
842	Tremjugan Khanty	know (V)	45	wuː	w uː	85
843	Jugan Khanty	know (V)	45	uː	uː	85
844	Upper Demjanka Khanty	know (V)	45	woː	w oː	85
845	Nizjam Khanty	know (V)	45	uː	uː	85
846	Sherkaly Khanty	know (V)	45	uː	uː	85
847	Kazym Khanty	know (V)	45	wɵː	w ɵː	85
848	Synja Khanty	know (V)	45	uːjət	uː j ə t	85
849	Obdorsk Khanty	know (V)	45	oːsj	oː s j	85
# 
850	North Mansi	leaf	46	luːptæ	l uː p t æ	88
851	Middle Lozva Mansi	leaf	46	luoptæ	l uo p t æ	88
852	Lower Lozva Mansi	leaf	46	lɔːpta	l ɔː p t a	88
853	Pelymka Mansi	leaf	46	luptə	l u p t ə	88
854	Konda Mansi	leaf	46	ləptə	l ə p t ə	88
855	Tavda Mansi	leaf	46	lɔptɔ	l ɔ p t ɔ	88
856	Vakh Khanty	leaf	46	ɭɨːwət	ɭ ɨː w ə t	88
857	Verkhne-Kalymsk Khanty	leaf	46	ɭɨːwət	ɭ ɨː w ə t	88
858	Vasjugan Khanty	leaf	46	ɭɨːwət	ɭ ɨː w ə t	88
